fonte,step,epoch,batch,input_std,target_std,pred_std,pred_target_ratio
por_batch,51400,1,51400,0.0,0.0,0.0,0.0
por_batch,51600,1,51600,0.0068,0.0067,0.0008,0.126
por_batch,51800,1,51800,0.0928,0.0829,0.0435,0.524
por_batch,52000,1,52000,0.0,0.0,0.0,0.0
por_batch,52200,1,52200,0.0132,0.0163,0.002,0.123
por_batch,52400,1,52400,0.0471,0.0469,0.0164,0.35
por_batch,52600,1,52600,0.0276,0.0301,0.0056,0.185
por_batch,52800,1,52800,0.0527,0.0493,0.014,0.284
por_batch,53000,1,53000,0.0068,0.0062,0.0006,0.095
por_batch,53200,1,53200,0.1057,0.1151,0.0429,0.373
por_batch,53400,1,53400,0.0923,0.0919,0.033,0.359
por_batch,53600,1,53600,0.0029,0.0035,0.0003,0.085
por_batch,53800,1,53800,0.0497,0.0499,0.0154,0.309
por_batch,54000,1,54000,0.0207,0.025,0.0006,0.025
por_batch,54200,1,54200,0.0105,0.0126,0.0013,0.1
por_batch,54400,1,54400,0.0585,0.0616,0.035,0.568
por_batch,54600,1,54600,0.02,0.0217,0.0037,0.171
por_batch,54800,1,54800,0.0266,0.0351,0.0085,0.242
por_batch,55000,1,55000,0.0052,0.0047,0.001,0.216
por_batch,55200,1,55200,0.0042,0.0041,0.0008,0.2
por_batch,55400,1,55400,0.0045,0.0042,0.001,0.228
por_batch,55600,1,55600,0.0034,0.0038,0.0007,0.191
por_batch,55800,1,55800,0.0994,0.1095,0.0229,0.209
por_batch,56000,1,56000,0.0133,0.0136,0.0027,0.199
por_batch,56200,1,56200,0.0188,0.0186,0.0037,0.2
por_batch,56400,1,56400,0.0,0.0,0.0,0.0
por_batch,56600,1,56600,0.004,0.0036,0.0009,0.25
por_batch,56800,1,56800,0.0,0.0,0.0,0.0
por_batch,57000,1,57000,0.0097,0.0096,0.0009,0.099
por_batch,57200,1,57200,0.0083,0.0108,0.0009,0.086
por_batch,57400,1,57400,0.0007,0.0008,0.0001,0.128
por_batch,57600,1,57600,0.0005,0.0004,0.0001,0.216
por_batch,57800,1,57800,0.002,0.0017,0.0006,0.365
por_batch,58000,1,58000,0.0422,0.0398,0.0121,0.304
por_batch,58200,1,58200,0.0649,0.0632,0.0224,0.354
por_batch,58400,1,58400,0.0008,0.0009,0.0002,0.237
por_batch,58600,1,58600,0.0031,0.0038,0.0006,0.161
por_batch,58800,1,58800,0.0677,0.0549,0.0278,0.506
por_batch,59000,1,59000,0.0431,0.0436,0.0153,0.352
por_batch,59200,1,59200,0.0094,0.0087,0.0007,0.084
por_batch,59400,1,59400,0.0003,0.0002,0.0,0.163
por_batch,59600,1,59600,0.0089,0.0097,0.0007,0.077
por_batch,59800,1,59800,0.0343,0.036,0.0056,0.155
por_batch,60000,1,60000,0.0012,0.0009,0.0003,0.308
por_batch,60200,1,60200,0.0001,0.0001,0.0,0.355
por_batch,60400,1,60400,0.0079,0.0075,0.0008,0.111
por_batch,60600,1,60600,0.0365,0.0291,0.002,0.069
por_batch,60800,1,60800,0.013,0.0191,0.0012,0.063
por_batch,61000,1,61000,0.0098,0.01,0.0009,0.094
por_batch,61200,1,61200,0.004,0.0034,0.0008,0.25
por_batch,61400,1,61400,0.006,0.0061,0.0008,0.139
por_batch,61600,1,61600,0.0002,0.0003,0.0,0.11
por_batch,61800,1,61800,0.0368,0.037,0.0109,0.294
por_batch,62000,1,62000,0.0434,0.0535,0.0047,0.087
por_batch,62200,1,62200,0.0117,0.018,0.0012,0.066
por_batch,62400,1,62400,0.0089,0.0091,0.0015,0.164
por_batch,62600,1,62600,0.0609,0.0748,0.0071,0.095
por_batch,62800,1,62800,0.0942,0.0795,0.0287,0.361
por_batch,63000,1,63000,0.0145,0.0189,0.0009,0.047
por_batch,63200,1,63200,0.01,0.0096,0.0011,0.111
por_batch,63400,1,63400,0.0044,0.0053,0.0007,0.142
por_batch,63600,1,63600,0.0,0.0,0.0,0.0
por_batch,63800,1,63800,0.0162,0.0173,0.0022,0.125
por_batch,64000,1,64000,0.0001,0.0001,0.0,0.528
por_batch,64200,1,64200,0.0051,0.0046,0.0009,0.184
por_batch,64400,1,64400,0.003,0.0042,0.001,0.23
por_batch,64600,1,64600,0.0216,0.0114,0.001,0.086
por_batch,64800,1,64800,0.0002,0.0002,0.0,0.2
por_batch,65000,1,65000,0.0677,0.0669,0.021,0.314
por_batch,65200,1,65200,0.0488,0.0495,0.0223,0.451
por_batch,65400,1,65400,0.0071,0.0076,0.0007,0.087
por_batch,65600,1,65600,0.0081,0.0075,0.0009,0.117
por_batch,65800,1,65800,0.0167,0.0146,0.0014,0.099
por_batch,66000,1,66000,0.0,0.0,0.0,0.0
por_batch,66200,1,66200,0.0308,0.0317,0.0125,0.396
por_batch,66400,1,66400,0.0038,0.0034,0.0011,0.315
por_batch,66600,1,66600,0.0004,0.0004,0.0001,0.262
por_batch,66800,1,66800,0.0073,0.008,0.0007,0.093
por_batch,67000,1,67000,0.0036,0.0037,0.0015,0.404
por_batch,67200,1,67200,0.0,0.0,0.0,0.0
por_batch,67400,1,67400,0.0455,0.0467,0.0111,0.238
por_batch,67600,1,67600,0.0006,0.0007,0.0002,0.35
por_batch,67800,1,67800,0.0116,0.0116,0.001,0.084
por_batch,68000,1,68000,0.006,0.0067,0.0008,0.121
por_batch,68200,1,68200,0.0002,0.0002,0.0,0.053
por_batch,68400,1,68400,0.0057,0.0057,0.0009,0.151
por_batch,68600,1,68600,0.0005,0.0005,0.0001,0.192
por_batch,68800,1,68800,0.0673,0.0521,0.0227,0.435
por_batch,69000,1,69000,0.0067,0.0061,0.0007,0.12
por_batch,69200,1,69200,0.0,0.0,0.0,0.0
por_batch,69400,1,69400,0.0,0.0,0.0,0.0
por_batch,69600,1,69600,0.0096,0.0093,0.001,0.105
por_batch,69800,1,69800,0.0002,0.0002,0.0,0.148
por_batch,70000,1,70000,0.0158,0.0089,0.0008,0.087
por_batch,70200,1,70200,0.05,0.0503,0.0255,0.508
por_batch,70400,1,70400,0.0036,0.0039,0.0012,0.301
por_batch,70600,1,70600,0.0024,0.0021,0.0003,0.147
por_batch,70800,1,70800,0.0087,0.0105,0.0007,0.068
por_batch,71000,1,71000,0.026,0.0254,0.005,0.196
por_batch,71200,1,71200,0.001,0.0008,0.0001,0.094
por_batch,71400,1,71400,0.0021,0.0024,0.0007,0.287
por_batch,71600,1,71600,0.0091,0.0094,0.001,0.108
por_batch,71800,1,71800,0.0033,0.0041,0.0005,0.113
por_batch,72000,1,72000,0.011,0.0112,0.0014,0.121
por_batch,72200,1,72200,0.0004,0.0003,0.0001,0.169
por_batch,72400,1,72400,0.0413,0.0437,0.0159,0.364
por_batch,72600,1,72600,0.0048,0.0047,0.0023,0.485
por_batch,72800,1,72800,0.0124,0.0119,0.0011,0.089
por_batch,73000,1,73000,0.0011,0.001,0.0002,0.178
por_batch,73200,1,73200,0.0003,0.0004,0.0001,0.227
por_batch,73400,1,73400,0.0089,0.0096,0.0014,0.145
por_batch,73600,1,73600,0.0122,0.0145,0.0012,0.08
por_batch,73800,1,73800,0.0464,0.0426,0.0131,0.306
por_batch,74000,1,74000,0.0627,0.0608,0.0197,0.324
por_batch,74200,1,74200,0.0496,0.0483,0.0233,0.481
por_batch,74400,1,74400,0.0023,0.002,0.0011,0.544
por_batch,74600,1,74600,0.0225,0.019,0.0021,0.113
por_batch,74800,1,74800,0.0047,0.0051,0.0009,0.184
por_batch,75000,1,75000,0.0014,0.0013,0.0011,0.821
por_batch,75200,1,75200,0.1315,0.1009,0.0302,0.299
por_batch,75400,1,75400,0.0109,0.0093,0.0008,0.083
por_batch,75600,1,75600,0.0629,0.0686,0.039,0.568
por_batch,75800,1,75800,0.0051,0.0051,0.0005,0.106
por_batch,76000,1,76000,0.0028,0.0028,0.0006,0.198
por_batch,76200,1,76200,0.0615,0.0653,0.046,0.706
por_batch,76400,1,76400,0.0,0.0,0.0,0.0
por_batch,76600,1,76600,0.004,0.0038,0.0008,0.203
por_batch,76800,1,76800,0.0018,0.0019,0.0004,0.207
por_batch,77000,1,77000,0.0075,0.0077,0.0008,0.11
por_batch,77200,1,77200,0.0004,0.0004,0.0001,0.151
por_batch,77400,1,77400,0.0693,0.074,0.0273,0.369
por_batch,77600,1,77600,0.0132,0.0114,0.0015,0.136
por_batch,77800,1,77800,0.0587,0.0577,0.0212,0.368
por_batch,78000,1,78000,0.0506,0.0521,0.0323,0.619
por_batch,78200,1,78200,0.0001,0.0001,0.0,0.357
por_batch,78400,1,78400,0.0064,0.006,0.0008,0.136
por_batch,78600,1,78600,0.0675,0.0658,0.0424,0.644
por_batch,78800,1,78800,0.0,0.0,0.0,0.0
por_batch,79000,1,79000,0.0022,0.0019,0.0006,0.296
por_batch,79200,1,79200,0.0,0.0,0.0,0.0
por_batch,79400,1,79400,0.0,0.0,0.0,0.0
por_batch,79600,1,79600,0.0756,0.0708,0.0324,0.458
por_batch,79800,1,79800,0.0091,0.0115,0.0007,0.058
por_batch,80000,1,80000,0.0045,0.0047,0.0007,0.143
por_batch,80200,1,80200,0.0028,0.0031,0.0003,0.082
por_batch,80400,1,80400,0.0613,0.0582,0.0263,0.452
por_batch,80600,1,80600,0.0168,0.0141,0.0022,0.153
por_batch,80800,1,80800,0.0392,0.0392,0.0087,0.221
por_batch,81000,1,81000,0.0426,0.0401,0.0276,0.688
por_batch,81200,1,81200,0.0068,0.0079,0.0007,0.083
por_batch,81400,1,81400,0.0343,0.0369,0.0102,0.276
por_batch,81600,1,81600,0.0048,0.0055,0.0006,0.113
por_batch,81800,1,81800,0.0092,0.0117,0.0034,0.291
por_batch,82000,1,82000,0.0001,0.0001,0.0,0.366
por_batch,82200,1,82200,0.0292,0.0281,0.0048,0.17
por_batch,82400,1,82400,0.0083,0.0098,0.0007,0.068
por_batch,82600,1,82600,0.0,0.0,0.0,0.0
por_batch,82800,1,82800,0.0239,0.0218,0.0041,0.186
por_batch,83000,1,83000,0.0,0.0,0.0,0.0
por_batch,83200,1,83200,0.0053,0.005,0.0005,0.103
por_batch,83400,1,83400,0.0163,0.0187,0.0038,0.201
por_batch,83600,1,83600,0.0,0.0,0.0,0.0
por_batch,83800,1,83800,0.075,0.0745,0.0751,1.008
por_batch,84000,1,84000,0.0061,0.0065,0.0011,0.163
por_batch,84200,1,84200,0.0125,0.0124,0.0026,0.207
por_batch,84400,1,84400,0.0108,0.0112,0.0011,0.095
por_batch,84600,1,84600,0.0,0.0,0.0,0.0
por_batch,84800,1,84800,0.0747,0.0709,0.0588,0.83
por_batch,85000,1,85000,0.0446,0.0483,0.019,0.395
por_batch,85200,1,85200,0.0687,0.0898,0.0234,0.26
por_batch,85400,1,85400,0.0,0.0,0.0,0.0
por_batch,85600,1,85600,0.0315,0.0351,0.012,0.342
por_batch,85800,1,85800,0.0083,0.0079,0.0016,0.197
por_batch,86000,1,86000,0.0037,0.0037,0.0013,0.343
por_batch,86200,1,86200,0.0895,0.1083,0.0498,0.46
por_batch,86400,1,86400,0.0015,0.0027,0.0005,0.192
por_batch,86600,1,86600,0.0332,0.0259,0.0045,0.174
por_batch,86800,1,86800,0.1154,0.1205,0.0962,0.798
por_batch,87000,1,87000,0.0565,0.0566,0.0418,0.739
por_batch,87200,1,87200,0.0731,0.0746,0.0394,0.529
por_batch,87400,1,87400,0.001,0.001,0.0,0.045
por_batch,87600,1,87600,0.009,0.0085,0.0012,0.143
por_batch,87800,1,87800,0.0035,0.004,0.0007,0.183
por_batch,88000,1,88000,0.0037,0.0052,0.001,0.185
